model,drop_rate,gain_rate,bad_rate,score_drift
hf-qwen,0.5086691086691087,0.19669312169312167,0.025,-4.235398538416649
hf-qwen3b,0.48968253968253966,0.13291819291819293,0.016666666666666666,-1.3293710313831026
hf-smollm,0.3214285714285714,0.10173024534580599,0.041666666666666664,-0.24379393242572303
